"_sid","_root_sid","_search","_timestamp",now,"_startTime","_endTime","_search_et","_search_lt","_api_et","_api_lt","_rt_earliest","_rt_latest","_scan_count","_drop_count","_maxevents","_countMap","_columnOrder","_keySet","_remoteServers",label,"is_saved_search",realtime,"rt_backfill","read_raw","enable_event_stream","_tz","_rtoptions","field_rendering","_query_finished","_ppc.app","_ppc.user","_ppc.bs","_auth_token","_splunkd_port","_splunkd_protocol","_splunkd_uri","_bundle_version","search_listeners",msgType,msg,"internal_only"
"scheduler__nobody__SplunkDeploymentMonitor_QWxsIGluZGV4ZXJzIC0gcmVnZW5lcmF0b3I_at_1335756600_0bb66d7629a18012","","search `per_index_metrics` | stats sum(kb) as kb by splunk_server | join type=""outer"" splunk_server [ search `indexer_queue_stats`] | rename splunk_server as my_splunk_server | summaryindex spool=t uselb=t addtime=t index=""summary_indexers"" file=""All indexers - regenerator_1150779899.stash_new"" name=""All indexers - regenerator"" marker=""report=\""\\\""DM indexer summary index\\\""\""""","1335756645.231041000","1335756600.000000000","1335754800.000000000","1335756600.000000000","1335754800.000000000","1335756600.000000000","1335754800.000000000","1335756600.000000000","","",0,0,0,"duration.command.addinfo;4;duration.command.fields;4;duration.command.join;1;duration.command.prestats;4;duration.command.rename;1;duration.command.search;22;duration.command.search.calcfields;2;duration.command.search.fieldalias;2;duration.command.search.filter;2;duration.command.search.index;6;duration.command.search.kv;6;duration.command.search.lookups;2;duration.command.search.rawdata;10;duration.command.search.tags;4;duration.command.search.typer;4;duration.command.stats;1;duration.command.summaryindex;1;duration.dispatch.createProviderQueue;73;duration.dispatch.evaluate;1288;duration.dispatch.evaluate.join;875;duration.dispatch.evaluate.rename;1;duration.dispatch.evaluate.search;413;duration.dispatch.evaluate.stats;1;duration.dispatch.evaluate.summaryindex;1;duration.dispatch.fetch;23;duration.dispatch.stream.local;22;in_ct.command.addinfo;0;in_ct.command.fields;0;in_ct.command.join;0;in_ct.command.prestats;0;in_ct.command.rename;0;in_ct.command.search;0;in_ct.command.search.calcfields;97;in_ct.command.search.fieldalias;97;in_ct.command.search.lookups;97;in_ct.command.search.tags;0;in_ct.command.search.typer;0;in_ct.command.stats;0;in_ct.command.summaryindex;0;invocations.command.addinfo;4;invocations.command.fields;4;invocations.command.join;1;invocations.command.prestats;4;invocations.command.rename;1;invocations.command.search;4;invocations.command.search.calcfields;2;invocations.command.search.fieldalias;2;invocations.command.search.filter;2;invocations.command.search.index;4;invocations.command.search.kv;2;invocations.command.search.lookups;2;invocations.command.search.rawdata;2;invocations.command.search.tags;4;invocations.command.search.typer;4;invocations.command.stats;1;invocations.command.summaryindex;1;invocations.dispatch.createProviderQueue;1;invocations.dispatch.evaluate;1;invocations.dispatch.evaluate.join;1;invocations.dispatch.evaluate.rename;1;invocations.dispatch.evaluate.search;1;invocations.dispatch.evaluate.stats;1;invocations.dispatch.evaluate.summaryindex;1;invocations.dispatch.fetch;5;invocations.dispatch.stream.local;4;out_ct.command.addinfo;0;out_ct.command.fields;0;out_ct.command.join;0;out_ct.command.prestats;0;out_ct.command.rename;0;out_ct.command.search;0;out_ct.command.search.calcfields;97;out_ct.command.search.fieldalias;97;out_ct.command.search.lookups;97;out_ct.command.search.tags;0;out_ct.command.search.typer;0;out_ct.command.stats;0;out_ct.command.summaryindex;0;prereport_events;0;","my_splunk_server kb","group::per_index_thruput index::_internal source::*metrics.log","","All indexers - regenerator",1,0,0,1,0,"### SERIALIZED TIMEZONE FORMAT 1.0;C25200;Y25632 NW 4A 4D 54;Y26400 NW 4A 41 56 54;Y27000 NW 57 49 54;Y32400 NW 4A 53 54;Y28800 NW 57 49 54;Y25200 NW 57 49 54;@-1451719200 1;@-1172906400 2;@-876641400 3;@-766054800 2;@-683883000 4;@-620812800 2;@-189415800 5;$","","",1,SplunkDeploymentMonitor,"splunk-system-user","$SPLUNK_HOME/etc",c746237af55513a4a5bdc14218d890d6,"","","",0,"onResults\;true\;POST\;/servicesNS/nobody/SplunkDeploymentMonitor/saved/searches/All%20indexers%20-%20regenerator/notify\;;",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBUG,"[subsearch]: [subsearch]: base lispy: [ AND access index::_internal per sourcetype thruput ]",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBUG,"[subsearch]: [subsearch]: base lispy: [ AND index::_internal indexqueue queue source::*metrics.log ]",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBUG,"[subsearch]: base lispy: [ AND index::_internal parsingqueue queue source::*metrics.log ]",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBUG,"base lispy: [ AND index index::_internal per source::*metrics.log thruput ]",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBUG,"search context: user=""splunk-system-user"", app=""SplunkDeploymentMonitor"", bs-pathname=""/opt/splunk/etc""",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,"No results to summary index.",0
