04-24-2012 11:52:09.201 +0700 INFO  Metrics - group=pipeline, name=parsing, processor=readerin, cpu_seconds=0.000000, executes=24, cumulative_hits=405
04-24-2012 11:52:09.201 +0700 INFO  Metrics - group=pipeline, name=parsing, processor=sendout, cpu_seconds=0.000000, executes=341, cumulative_hits=2187
04-24-2012 11:52:09.201 +0700 INFO  Metrics - group=pipeline, name=parsing, processor=utf8, cpu_seconds=0.000000, executes=353, cumulative_hits=2350
04-24-2012 11:52:09.201 +0700 INFO  Metrics - group=pipeline, name=typing, processor=annotator, cpu_seconds=0.000000, executes=330, cumulative_hits=2099
04-24-2012 11:52:09.201 +0700 INFO  Metrics - group=pipeline, name=typing, processor=previewout, cpu_seconds=0.000000, executes=330, cumulative_hits=2099
04-24-2012 11:52:09.201 +0700 INFO  Metrics - group=pipeline, name=typing, processor=readerin, cpu_seconds=0.000000, executes=330, cumulative_hits=2099
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=pipeline, name=typing, processor=regexreplacement, cpu_seconds=0.000000, executes=330, cumulative_hits=2099
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=pipeline, name=typing, processor=sendout, cpu_seconds=0.000000, executes=330, cumulative_hits=2099
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=searchscheduler, dispatched=0, skipped=0, total_lag=0, max_ready=0, max_pending=0, max_lag=0, max_running=0, actions_triggered=0, completed=0, total_runtime=0.000, max_runtime=0.000
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=thruput, name=index_thruput, instantaneous_kbps=0.794984, instantaneous_eps=7.445110, average_kbps=0.533169, total_k_processed=279, kb=24.666016, ev=231, load_average=0.500000
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=map, name=pipelineinputchannel, current_size=12, inactive_channels=6, new_channels=0, removed_channels=0, reclaimed_channels=0, timedout_channels=0, abandoned_channels=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=per_host_thruput, series="linux-ahv8.site", kbps=0.794984, eps=7.445110, kb=24.666016, ev=231, avg_age=2.108225, max_age=18
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=per_index_thruput, series="_internal", kbps=0.794984, eps=7.445110, kb=24.666016, ev=231, avg_age=2.108225, max_age=18
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=per_source_thruput, series="/opt/splunk/var/log/splunk/metrics.log", kbps=0.129518, eps=0.805748, kb=4.018555, ev=25, avg_age=0.000000, max_age=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=per_source_thruput, series="/opt/splunk/var/log/splunk/splunkd.log", kbps=0.665466, eps=6.639362, kb=20.647461, ev=206, avg_age=2.364078, max_age=18
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=per_sourcetype_thruput, series="splunkd", kbps=0.794984, eps=7.445110, kb=24.666016, ev=231, avg_age=2.108225, max_age=18
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=aeq, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=aq, max_size_kb=10240, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=aggqueue, max_size_kb=1024, current_size_kb=0, current_size=0, largest_size=45, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=auditqueue, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=fschangemanager_queue, max_size_kb=5120, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=indexqueue, max_size_kb=500, current_size_kb=36, current_size=114, largest_size=114, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=nullqueue, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=parsingqueue, max_size_kb=6144, current_size_kb=0, current_size=0, largest_size=2, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=stashparsing, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=tcpin_queue, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=queue, name=typingqueue, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=38, smallest_size=0
04-24-2012 11:52:09.202 +0700 INFO  Metrics - group=realtime_search_data, system total, drop_count=0
04-24-2012 11:52:09.203 +0700 INFO  Metrics - group=search_concurrency, system total, active_hist_searches=0, active_realtime_searches=0
04-24-2012 11:52:40.231 +0700 INFO  Metrics - group=mpool, max_used_interval=4320, max_used=56979, avg_rsv=206, capacity=268435456, used=4320
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=indexerpipe, processor=http-output-generic-processor, cpu_seconds=0.000000, executes=6, cumulative_hits=2516
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=indexerpipe, processor=indexin, cpu_seconds=0.000000, executes=6, cumulative_hits=2516
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=indexerpipe, processor=index_thruput, cpu_seconds=0.000000, executes=6, cumulative_hits=2361
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=indexerpipe, processor=indexandforward, cpu_seconds=0.000000, executes=6, cumulative_hits=2516
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=indexerpipe, processor=indexer, cpu_seconds=0.000000, executes=6, cumulative_hits=2515
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=indexerpipe, processor=signing, cpu_seconds=0.000000, executes=6, cumulative_hits=2516
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=indexerpipe, processor=syslog-output-generic-processor, cpu_seconds=0.000000, executes=6, cumulative_hits=2516
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=indexerpipe, processor=tcp-output-generic-processor, cpu_seconds=0.000000, executes=6, cumulative_hits=2516
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=merging, processor=aggregator, cpu_seconds=0.000000, executes=198, cumulative_hits=2385
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=merging, processor=readerin, cpu_seconds=0.000000, executes=198, cumulative_hits=2385
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=merging, processor=sendout, cpu_seconds=0.000000, executes=186, cumulative_hits=2285
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=parsing, processor=header, cpu_seconds=0.000000, executes=198, cumulative_hits=2385
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=parsing, processor=linebreaker, cpu_seconds=0.000000, executes=211, cumulative_hits=2561
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=parsing, processor=readerin, cpu_seconds=0.000000, executes=28, cumulative_hits=433
