"_sid","_root_sid","_search","_timestamp",now,"_startTime","_endTime","_search_et","_search_lt","_api_et","_api_lt","_rt_earliest","_rt_latest","_scan_count","_drop_count","_maxevents","_countMap","_columnOrder","_keySet","_remoteServers",label,"is_saved_search",realtime,"rt_backfill","read_raw","enable_event_stream","_tz","_rtoptions","field_rendering","_query_finished","_ppc.app","_ppc.user","_ppc.bs","_auth_token","_splunkd_port","_splunkd_protocol","_splunkd_uri","_bundle_version","search_listeners",msgType,msg,"internal_only"
"scheduler__nobody__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHdlZWsgb3ZlciB3ZWVr_at_1335942000_8cf1c6103e5d29a3","","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | addinfo | eval marker = if(_time < info_min_time + 7*86400, ""last week"", ""this week"") | eval _time = if(_time < info_min_time + 7*86400, _time + 7*86400+1800, _time+1800) | chart median(KBps) by _time marker","1335942030.531359000","1335942000.000000000","1334766600.000000000","1335976200.000000000","1334766600.000000000","1335976200.000000000","1334766600.000000000","1335976200.000000000","","",0,0,0,"duration.command.addinfo;8;duration.command.chart;59;duration.command.convert;3;duration.command.eval;13;duration.command.fields;3;duration.command.prediscretize;3;duration.command.prestats;3;duration.command.search;31;duration.command.search.calcfields;1;duration.command.search.fieldalias;1;duration.command.search.index;4;duration.command.search.kv;2;duration.command.search.lookups;1;duration.command.search.rawdata;18;duration.command.search.tags;3;duration.command.search.typer;3;duration.command.timechart;16;duration.dispatch.createProviderQueue;329;duration.dispatch.evaluate;335;duration.dispatch.evaluate.addinfo;1;duration.dispatch.evaluate.chart;1;duration.dispatch.evaluate.eval;2;duration.dispatch.evaluate.search;333;duration.dispatch.evaluate.timechart;1;duration.dispatch.fetch;38;duration.dispatch.stream.local;31;in_ct.command.addinfo;682;in_ct.command.chart;672;in_ct.command.convert;10;in_ct.command.eval;1344;in_ct.command.fields;10;in_ct.command.prediscretize;10;in_ct.command.prestats;10;in_ct.command.search;0;in_ct.command.search.calcfields;10;in_ct.command.search.fieldalias;10;in_ct.command.search.lookups;10;in_ct.command.search.tags;10;in_ct.command.search.typer;10;in_ct.command.timechart;0;invocations.command.addinfo;4;invocations.command.chart;1;invocations.command.convert;3;invocations.command.eval;2;invocations.command.fields;3;invocations.command.prediscretize;3;invocations.command.prestats;3;invocations.command.search;3;invocations.command.search.calcfields;1;invocations.command.search.fieldalias;1;invocations.command.search.index;3;invocations.command.search.kv;1;invocations.command.search.lookups;1;invocations.command.search.rawdata;1;invocations.command.search.tags;3;invocations.command.search.typer;3;invocations.command.timechart;1;invocations.dispatch.createProviderQueue;1;invocations.dispatch.evaluate;1;invocations.dispatch.evaluate.addinfo;1;invocations.dispatch.evaluate.chart;1;invocations.dispatch.evaluate.eval;2;invocations.dispatch.evaluate.search;1;invocations.dispatch.evaluate.timechart;1;invocations.dispatch.fetch;4;invocations.dispatch.stream.local;3;out_ct.command.addinfo;682;out_ct.command.chart;10;out_ct.command.convert;10;out_ct.command.eval;1344;out_ct.command.fields;10;out_ct.command.prediscretize;10;out_ct.command.prestats;10;out_ct.command.search;10;out_ct.command.search.calcfields;10;out_ct.command.search.fieldalias;10;out_ct.command.search.lookups;10;out_ct.command.search.tags;10;out_ct.command.search.typer;10;out_ct.command.timechart;672;prereport_events;10;","_time ""last week"" ""this week""","index::summary_indexers","","DM indexthru week over week",1,0,0,1,0,"### SERIALIZED TIMEZONE FORMAT 1.0;C25200;Y25632 NW 4A 4D 54;Y26400 NW 4A 41 56 54;Y27000 NW 57 49 54;Y32400 NW 4A 53 54;Y28800 NW 57 49 54;Y25200 NW 57 49 54;@-1451719200 1;@-1172906400 2;@-876641400 3;@-766054800 2;@-683883000 4;@-620812800 2;@-189415800 5;$","","",1,SplunkDeploymentMonitor,"splunk-system-user","$SPLUNK_HOME/etc",6d556f054711f9ce6952b7652a980cf7,"","","",0,"onResults\;true\;POST\;/servicesNS/nobody/SplunkDeploymentMonitor/saved/searches/DM%20indexthru%20week%20over%20week/notify\;;",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBUG,"base lispy: [ AND index::summary_indexers ]",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBUG,"search context: user=""splunk-system-user"", app=""SplunkDeploymentMonitor"", bs-pathname=""/opt/splunk/etc""",0
