key,value,count,ncount,complete,min,max,sum,sumsq
,,1514,,,,,,
host,,1514,,1,,,,
,"linux-ahv8",1514,,1,,,,
linecount,,1514,1514,1,1,1,1514.000000,1514.000000
,1,1514,,1,,,,
source,,1514,,1,,,,
,"/var/log/messages",1514,,1,,,,
sourcetype,,1514,,1,,,,
,syslog,1514,,1,,,,
