key,value,count,ncount,complete,min,max,sum,sumsq
,,159,,,,,,
host,,159,,1,,,,
,"linux-ahv8",159,,1,,,,
linecount,,159,159,1,1,1,159.000000,159.000000
,1,159,,1,,,,
source,,159,,1,,,,
,"/var/log/messages",159,,1,,,,
sourcetype,,159,,1,,,,
,syslog,159,,1,,,,
