key,value,count,ncount,complete,min,max,sum,sumsq
,,33,,,,,,
host,,33,,1,,,,
,"linux-ahv8",33,,1,,,,
linecount,,33,33,1,1,1,33.000000,33.000000
,1,33,,1,,,,
source,,33,,1,,,,
,"/var/log/messages",33,,1,,,,
sourcetype,,33,,1,,,,
,syslog,33,,1,,,,
