key,value,count,ncount,complete,min,max,sum,sumsq
,,113,,,,,,
host,,113,,1,,,,
,"linux-ahv8",113,,1,,,,
linecount,,113,113,1,1,1,113.000000,113.000000
,1,113,,1,,,,
source,,113,,1,,,,
,"/var/log/messages",113,,1,,,,
sourcetype,,113,,1,,,,
,syslog,113,,1,,,,
