key,value,count,ncount,complete,min,max,sum,sumsq
,,2634,,,,,,
host,,2634,,1,,,,
,"linux-ahv8",2634,,1,,,,
linecount,,2634,2634,1,1,1,2634.000000,2634.000000
,1,2634,,1,,,,
source,,2634,,1,,,,
,"/var/log/messages",2634,,1,,,,
sourcetype,,2634,,1,,,,
,syslog,2634,,1,,,,
