key,value,count,ncount,complete,min,max,sum,sumsq
,,43,,,,,,
host,,43,,1,,,,
,"linux-ahv8",43,,1,,,,
linecount,,43,43,1,1,1,43.000000,43.000000
,1,43,,1,,,,
source,,43,,1,,,,
,"/var/log/messages",43,,1,,,,
sourcetype,,43,,1,,,,
,syslog,43,,1,,,,
