key,value,count,ncount,complete,min,max,sum,sumsq
,,10,,,,,,
host,,10,,1,,,,
,"linux-ahv8",10,,1,,,,
linecount,,10,10,1,1,1,10.000000,10.000000
,1,10,,1,,,,
source,,10,,1,,,,
,"/var/log/messages",10,,1,,,,
sourcetype,,10,,1,,,,
,syslog,10,,1,,,,
