key,value,count,ncount,complete,min,max,sum,sumsq
,,202,,,,,,
host,,202,,1,,,,
,"linux-ahv8",202,,1,,,,
linecount,,202,202,1,1,1,202.000000,202.000000
,1,202,,1,,,,
source,,202,,1,,,,
,"/var/log/messages",202,,1,,,,
sourcetype,,202,,1,,,,
,syslog,202,,1,,,,
